,id,name,artists,genres,popularity,added_at,danceability,energy,instrumentalness,tempo,valence
154,6jFX2sHOzh7tpIIOomlrqJ,Orbits,['Halfway Escape'],[],48,2022-12-09 15:29:46+00:00,0.438,0.404,0.881,116.142,0.4
155,4ahEI4QjOwmT4z8PuZZYDk,Bayybe 07,['Bilo 503'],[],47,2022-12-09 15:29:46+00:00,0.431,0.384,0.934,127.978,0.0926
156,30ACOtgBj1PqZs1erzFZkU,Coming Home,['Zoe Connelly'],[],49,2022-12-09 15:29:46+00:00,0.198,0.139,0.856,82.405,0.106
157,7oXWUVH2t0UR11AvhhY8GQ,Stormy Weather,['Lost Horse Mine'],[],48,2022-12-09 15:29:46+00:00,0.444,0.382,0.816,123.59,0.197
158,2jpL7mFOMzRnbaSj790BfQ,Hypnagogia Well,['Monocle Twins'],['background music'],51,2022-12-09 15:29:46+00:00,0.545,0.253,0.922,115.848,0.0529
159,7rpGOF9MwCP2Oaz9yDO452,Water Colors,['Star Slide'],[],49,2022-12-09 15:29:46+00:00,0.465,0.12,0.937,72.021,0.0659
160,02QoKc20zzH9A8mf25NfPq,Presence,['Van Stiles'],[],48,2022-12-09 15:29:46+00:00,0.616,0.292,0.927,127.008,0.0633
161,4fItBSHKBcgKWixN1Idie5,Kaolnite,['Burgundy Skies'],['background music'],48,2022-12-09 15:29:46+00:00,0.247,0.231,0.87,174.014,0.0485
162,32dZxkZtsF5Vt3PrJQuV2i,North Captiva,['Lundegard'],['background music'],48,2022-12-09 15:29:46+00:00,0.479,0.346,0.929,143.965,0.23
163,42BtxDRqFTbE6Jb6rd9QOZ,Auburn Sky,['Toledo Rains'],['background music'],48,2022-12-09 15:29:46+00:00,0.265,0.035,0.89,132.972,0.0651
